,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,course_len,weather,race_type,ground_state,date,horse_id,jockey_id
201001010801,2,5,5,アンリミテッドピサ,牝2,54.0,武幸四郎,1:31.9,クビ,4.0,2.0,424(-6),[西] 大久保龍,1500,晴,芝,良,2010年9月5日,2008102705,01026
201001010801,3,8,11,リアライズノユメ,牝2,54.0,三浦皇成,1:32.2,1.3/4,11.3,6.0,442(0),[西] 森秀行,1500,晴,芝,良,2010年9月5日,2008105521,01122
201001010801,4,1,1,ドナリーベ,牝2,54.0,秋山真一,1:32.4,1.1/2,3.4,1.0,440(0),[西] 須貝尚介,1500,晴,芝,良,2010年9月5日,2008105194,01019
201001010801,5,7,9,アドマイヤアキーダ,牝2,54.0,吉田稔,1:32.4,アタマ,22.6,8.0,434(0),[東] 戸田博文,1500,晴,芝,良,2010年9月5日,2008102628,05041
201001010801,6,6,7,アドマイヤシケーダ,牝2,54.0,池添謙一,1:32.4,ハナ,6.9,4.0,414(+2),[西] 中尾秀正,1500,晴,芝,良,2010年9月5日,2008102020,01032
201001010801,7,4,4,サダムグランジュテ,牝2,53.0,丸山元気,1:32.5,1/2,10.8,5.0,456(-4),[西] 西園正都,1500,晴,芝,良,2010年9月5日,2008102669,01127
201001010801,8,2,2,ローラドヴァランス,牝2,54.0,丸田恭介,1:32.6,1/2,24.6,9.0,502(+8),[東] 宗像義忠,1500,晴,芝,良,2010年9月5日,2008106527,01117
201001010801,9,8,10,アカマイ,牝2,54.0,藤田伸二,1:33.0,2.1/2,17.8,7.0,440(0),[西] 本田優,1500,晴,芝,良,2010年9月5日,2008100631,00705
201001010801,10,3,3,トミケンルティレ,牝2,54.0,柴山雄一,1:33.4,2.1/2,163.6,11.0,396(+2),[西] 鈴木孝志,1500,晴,芝,良,2010年9月5日,2008100183,05243
201001010801,11,7,8,セイルアゲン,牝2,54.0,黛弘人,1:34.0,3.1/2,109.9,10.0,446(-16),[東] 中野栄治,1500,晴,芝,良,2010年9月5日,2008104659,01109
201001010802,1,3,3,ファーマクリーム,牝2,51.0,川須栄彦,1:10.5,,24.2,6.0,440(+2),[西] 加藤敬二,1200,晴,芝,良,2010年9月5日,2008106177,01128
201001010802,2,5,5,チェリービスティー,牝2,54.0,藤岡佑介,1:11.1,3.1/2,15.2,5.0,432(-4),[西] 矢作芳人,1200,晴,芝,良,2010年9月5日,2008103348,01093
201001010802,3,1,1,アップターン,牡2,53.0,丸山元気,1:11.1,ハナ,53.2,7.0,466(0),[東] 小西一男,1200,晴,芝,良,2010年9月5日,2008105701,01127
201001010802,4,7,9,カシノエベレスト,牝2,54.0,古川吉洋,1:11.1,ハナ,63.9,8.0,434(+6),[西] 梅内忍,1200,晴,芝,良,2010年9月5日,2008105092,01015
201001010802,5,8,11,ショウナンタスク,牡2,54.0,秋山真一,1:11.3,1.1/2,10.1,3.0,452(0),[西] 北出成人,1200,晴,芝,良,2010年9月5日,2008102678,01019
201001010802,6,4,4,コウミョウガツジ,牝2,54.0,横山典弘,1:11.5,1.1/4,1.7,1.0,442(-10),[西] 松永幹夫,1200,晴,芝,良,2010年9月5日,2008102817,00660
201001010802,7,2,2,ダイアンスマイル,牝2,54.0,坂下秀樹,1:11.5,ハナ,119.7,9.0,412(0),[東] 小桧山悟,1200,晴,芝,良,2010年9月5日,2008101063,05054
201001010802,8,7,8,ラベンダーラッシー,牝2,54.0,藤田伸二,1:11.5,クビ,3.2,2.0,432(-8),[西] 須貝尚介,1200,晴,芝,良,2010年9月5日,2008105648,00705
